representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_hubert,mlp,R_S,balanced_accuracy,0.5419425293995245,0.5365084213369236,0.0054341080626009175,0.005445389147981995,0.011531895486205116,-0.016197719962819865,0.029193192615568835,0.648,2000,subject,CI includes zero
full_minus_hubert,mlp,R_S,roc_auc,0.5956101142970637,0.5894127854276332,0.006197328869430474,0.00599546565928304,0.012298279594089776,-0.01621836833119864,0.031418343117197434,0.66,2000,subject,CI includes zero
full_minus_hubert,mlp,R_S,mcc,0.0936002159821956,0.08533290587085518,0.008267310111340423,0.00842190636083511,0.02499620376981085,-0.038681713930435194,0.0586011771335403,0.76,2000,subject,CI includes zero
full_minus_hubert,mlp,S_R,f1,0.4803367933052284,0.29115944683961503,0.18917734646561335,0.18876418522253494,0.026749427679133048,0.1393331380106085,0.24187870619047167,0.0,2000,subject,CI excludes zero
full_minus_hubert,mlp,S_R,balanced_accuracy,0.5464466406745816,0.5258815813137964,0.02056505936078523,0.020820076855086436,0.010782409890246772,0.0010449954642472884,0.04347137642682315,0.029,2000,subject,CI excludes zero
full_minus_hubert,mlp,S_R,roc_auc,0.581536063555819,0.5656127905833213,0.015923272972497737,0.016165257890025746,0.013429731286635618,-0.009237714889605564,0.04416208838774013,0.208,2000,subject,CI includes zero
full_minus_hubert,mlp,S_R,mcc,0.10002870368996129,0.06297042067869933,0.03705828301126196,0.037812438199428526,0.024526472664070847,-0.0060628567549534575,0.08785972361949432,0.121,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_R,f1,0.533486812134266,0.5279695910395414,0.005517221094724523,0.005688681831545682,0.006794523560948109,-0.007034593456954298,0.019826117548311817,0.417,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_R,balanced_accuracy,0.566925945948786,0.5679321298744855,-0.0010061839256995109,-0.0010352486116652153,0.0037744415912226432,-0.00784104870304795,0.006771065321520633,0.768,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_R,roc_auc,0.6088600079639309,0.615997160470398,-0.0071371525064670704,-0.007121828336524762,0.004105263271881244,-0.014679149744348433,0.0010685721985230075,0.087,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_R,mcc,0.14486425388540544,0.14472788204753867,0.0001363718378667722,6.106299908818669e-06,0.009703703795073284,-0.017494616701770587,0.020798505326590198,0.959,2000,subject,CI includes zero
full_minus_hubert,random_forest,S_S,f1,0.5630980279072738,0.5658965694892013,-0.002798541581927494,-0.002750739571995371,0.007837929326316613,-0.0184029160004999,0.012576704888000419,0.72,2000,subject,CI includes zero
full_minus_hubert,random_forest,S_S,balanced_accuracy,0.5834555184467535,0.5916149753161518,-0.00815945686939834,-0.008043572987951353,0.004888331809562501,-0.017467455262266705,0.0016760667189362596,0.112,2000,subject,CI includes zero
full_minus_hubert,random_forest,S_S,roc_auc,0.6151901976646559,0.6317526816496044,-0.01656248398494853,-0.016532109470338667,0.004848563534126132,-0.02622633884628441,-0.007551069568266089,0.001,2000,subject,CI excludes zero
full_minus_hubert,random_forest,S_S,mcc,0.1750934619783048,0.1920948440703997,-0.017001382092094897,-0.016701049749529004,0.010526404872535687,-0.03717624271515658,0.004327567095844036,0.121,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_S,f1,0.2610154808342471,0.24375664856433327,0.017258832269913815,0.01750256426086038,0.019776214739735155,-0.01754390108613968,0.05942495759238907,0.38,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_S,balanced_accuracy,0.5230768926783573,0.519603665883372,0.0034732267949852957,0.0035098756486759315,0.0080346596034794,-0.01059759808249867,0.02115276106877362,0.706,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_S,roc_auc,0.5908319261463901,0.5890811223225431,0.0017508038238470691,0.001790501162946001,0.006936710159925442,-0.011640452186377591,0.015202523867888867,0.806,2000,subject,CI includes zero
full_minus_hubert,random_forest,R_S,mcc,0.06117054500012945,0.05259836139396049,0.00857218360616896,0.008644204041610475,0.01881109366532725,-0.025158474061020106,0.04789963408908977,0.682,2000,subject,CI includes zero
full_minus_hubert,random_forest,S_R,f1,0.332893463313112,0.2959170254946805,0.03697643781843146,0.036534985455284684,0.01840493233846699,0.0007142646088006701,0.07382456886890762,0.046,2000,subject,CI excludes zero
full_minus_hubert,random_forest,S_R,balanced_accuracy,0.5170371332241765,0.5217882162330268,-0.004751083008850299,-0.0049275810740873,0.0054184215390840635,-0.015366280490830221,0.005637411254703368,0.369,2000,subject,CI includes zero
full_minus_hubert,random_forest,S_R,roc_auc,0.5667206632362733,0.5668258758729262,-0.00010521263665286273,-0.00035947718913794584,0.00796886710454096,-0.015444329570861724,0.015554304491634835,0.958,2000,subject,CI includes zero
full_minus_hubert,random_forest,S_R,mcc,0.03770673708821282,0.04947673151928215,-0.011769994431069325,-0.012238125087868144,0.014148220330567117,-0.039485060314437916,0.015474768169453484,0.385,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_R,f1,0.5449061708192706,0.536344721813834,0.00856144900543665,0.008761867798365663,0.006506225368958887,-0.003674391452896199,0.021306252954087616,0.173,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_R,balanced_accuracy,0.5743936995294747,0.5723998638340422,0.0019938356954325442,0.0021016455507290917,0.0035009373618919305,-0.004565127064066484,0.0092645668569675,0.565,2000,subject,CI includes zero
